date,organization,location,item,opening_stock,received,issued,closing_stock,lead_time_days
2025-12-08,City Hospital,Main Warehouse,Paracetamol,100,50,15,135,7
2025-12-09,City Hospital,Main Warehouse,Paracetamol,135,0,18,117,7
2025-12-10,City Hospital,Main Warehouse,Paracetamol,117,0,20,97,7
2025-12-11,City Hospital,Main Warehouse,Paracetamol,97,0,16,81,7
2025-12-12,City Hospital,Main Warehouse,Paracetamol,81,0,19,62,7
2025-12-13,City Hospital,Main Warehouse,Paracetamol,62,0,17,45,7
2025-12-14,City Hospital,Main Warehouse,Paracetamol,45,0,15,30,7
2025-12-15,City Hospital,Main Warehouse,Paracetamol,30,0,12,18,7
2025-12-08,City Hospital,Main Warehouse,Insulin,50,20,5,65,14
2025-12-09,City Hospital,Main Warehouse,Insulin,65,0,6,59,14
2025-12-10,City Hospital,Main Warehouse,Insulin,59,0,7,52,14
2025-12-11,City Hospital,Main Warehouse,Insulin,52,0,5,47,14
2025-12-12,City Hospital,Main Warehouse,Insulin,47,0,8,39,14
2025-12-13,City Hospital,Main Warehouse,Insulin,39,0,6,33,14
2025-12-14,City Hospital,Main Warehouse,Insulin,33,0,7,26,14
2025-12-15,City Hospital,Main Warehouse,Insulin,26,0,5,21,14
2025-12-08,City Hospital,Emergency Unit,Masks,500,0,45,455,5
2025-12-09,City Hospital,Emergency Unit,Masks,455,0,52,403,5
2025-12-10,City Hospital,Emergency Unit,Masks,403,0,48,355,5
2025-12-11,City Hospital,Emergency Unit,Masks,355,0,55,300,5
2025-12-12,City Hospital,Emergency Unit,Masks,300,0,50,250,5
2025-12-13,City Hospital,Emergency Unit,Masks,250,0,47,203,5
2025-12-14,City Hospital,Emergency Unit,Masks,203,0,51,152,5
2025-12-15,City Hospital,Emergency Unit,Masks,152,0,49,103,5
2025-12-08,City Hospital,Emergency Unit,Gloves,800,200,65,935,5
2025-12-09,City Hospital,Emergency Unit,Gloves,935,0,70,865,5
2025-12-10,City Hospital,Emergency Unit,Gloves,865,0,68,797,5
2025-12-11,City Hospital,Emergency Unit,Gloves,797,0,72,725,5
2025-12-12,City Hospital,Emergency Unit,Gloves,725,0,67,658,5
2025-12-13,City Hospital,Emergency Unit,Gloves,658,0,71,587,5
2025-12-14,City Hospital,Emergency Unit,Gloves,587,0,69,518,5
2025-12-15,City Hospital,Emergency Unit,Gloves,518,0,66,452,5
2025-12-08,Regional NGO,Outreach Center,Rice,1000,500,120,1380,10
2025-12-09,Regional NGO,Outreach Center,Rice,1380,0,115,1265,10
2025-12-10,Regional NGO,Outreach Center,Rice,1265,0,125,1140,10
2025-12-11,Regional NGO,Outreach Center,Rice,1140,0,118,1022,10
2025-12-12,Regional NGO,Outreach Center,Rice,1022,0,130,892,10
2025-12-13,Regional NGO,Outreach Center,Rice,892,0,122,770,10
2025-12-14,Regional NGO,Outreach Center,Rice,770,0,128,642,10
2025-12-15,Regional NGO,Outreach Center,Rice,642,0,119,523,10
2025-12-08,Regional NGO,Outreach Center,Bandages,200,0,18,182,7
2025-12-09,Regional NGO,Outreach Center,Bandages,182,0,22,160,7
2025-12-10,Regional NGO,Outreach Center,Bandages,160,0,19,141,7
2025-12-11,Regional NGO,Outreach Center,Bandages,141,0,25,116,7
2025-12-12,Regional NGO,Outreach Center,Bandages,116,0,21,95,7
2025-12-13,Regional NGO,Outreach Center,Bandages,95,0,23,72,7
2025-12-14,Regional NGO,Outreach Center,Bandages,72,0,20,52,7
2025-12-15,Regional NGO,Outreach Center,Bandages,52,0,18,34,7
2025-12-08,Regional NGO,Main Warehouse,Syringes,300,100,25,375,5
2025-12-09,Regional NGO,Main Warehouse,Syringes,375,0,28,347,5
2025-12-10,Regional NGO,Main Warehouse,Syringes,347,0,30,317,5
2025-12-11,Regional NGO,Main Warehouse,Syringes,317,0,26,291,5
2025-12-12,Regional NGO,Main Warehouse,Syringes,291,0,32,259,5
2025-12-13,Regional NGO,Main Warehouse,Syringes,259,0,29,230,5
2025-12-14,Regional NGO,Main Warehouse,Syringes,230,0,31,199,5
2025-12-15,Regional NGO,Main Warehouse,Syringes,199,0,27,172,5
2025-12-08,Community Clinic,Emergency Unit,Paracetamol,80,0,12,68,7
2025-12-09,Community Clinic,Emergency Unit,Paracetamol,68,0,14,54,7
2025-12-10,Community Clinic,Emergency Unit,Paracetamol,54,0,11,43,7
2025-12-11,Community Clinic,Emergency Unit,Paracetamol,43,0,15,28,7
2025-12-12,Community Clinic,Emergency Unit,Paracetamol,28,0,13,15,7
2025-12-13,Community Clinic,Emergency Unit,Paracetamol,15,0,12,3,7
2025-12-14,Community Clinic,Emergency Unit,Paracetamol,3,0,10,-7,7
2025-12-15,Community Clinic,Emergency Unit,Paracetamol,-7,50,8,35,7
2025-12-08,Community Clinic,Outreach Center,Insulin,40,0,4,36,14
2025-12-09,Community Clinic,Outreach Center,Insulin,36,0,5,31,14
2025-12-10,Community Clinic,Outreach Center,Insulin,31,0,4,27,14
2025-12-11,Community Clinic,Outreach Center,Insulin,27,0,6,21,14
2025-12-12,Community Clinic,Outreach Center,Insulin,21,0,5,16,14
2025-12-13,Community Clinic,Outreach Center,Insulin,16,0,4,12,14
2025-12-14,Community Clinic,Outreach Center,Insulin,12,0,5,7,14
2025-12-15,Community Clinic,Outreach Center,Insulin,7,0,4,3,14
